"ITU, Global ICT Developments",Serbia,,26.3,40.9,42.2,48.1,53.5,62.1,65.3,67.1,70.3,73.4
"ITU, Global ICT Developments",Greece,9.1,24.0,44.4,51.6,55.1,59.9,63.2,66.8,69.1,70.5,73.0
"ITU, Global ICT Developments",Croatia,6.6,33.1,56.6,57.8,61.9,66.7,68.6,69.8,72.7,67.1,72.7
"ITU, Global ICT Developments",Montenegro,,27.1,37.5,35.6,56.8,60.3,61.0,68.1,69.9,71.3,71.5
"ITU, Global ICT Developments",Turkey,3.8,15.5,39.8,43.1,45.1,46.3,51.0,53.7,58.3,64.7,71.0
"ITU, Global ICT Developments",Romania,3.6,21.5,39.9,40.0,45.9,49.8,54.1,55.8,59.5,63.7,70.7
"ITU, Global ICT Developments",Viet Nam,.3,12.7,30.7,35.1,36.8,38.5,41.0,45.0,53.0,58.1,70.3
"ITU, Global ICT Developments",Bosnia and Herzegovina,1.1,21.3,42.8,43.9,45.1,48.5,49.9,52.6,60.3,64.9,70.1
"ITU, Global ICT Developments",Iran (Islamic Republic of),.9,8.1,15.9,19.0,22.7,30.0,39.4,45.3,53.2,64.0,70.0
"ITU, Global ICT Developments",Mexico,5.1,17.2,31.1,37.2,39.8,43.5,44.4,57.4,59.5,63.9,65.8
"ITU, Global ICT Developments",Paraguay,.7,7.9,19.8,24.8,29.3,36.9,43.0,49.7,53.4,61.1,65.0
"ITU, Global ICT Developments",Morocco,.7,15.1,52.0,46.1,55.4,56.0,56.8,57.1,58.3,61.8,64.8
"ITU, Global ICT Developments",Bulgaria,5.4,20.0,46.2,48.0,51.9,53.1,55.5,56.7,59.8,63.4,64.8
"ITU, Global ICT Developments",Palestine,1.1,16.0,37.4,41.1,43.4,46.6,53.7,57.4,61.2,65.2,64.4
"ITU, Global ICT Developments",Tunisia,2.8,9.7,36.8,39.1,41.4,43.8,46.2,46.5,49.6,64.2,64.2
"ITU, Global ICT Developments",Georgia,.5,6.1,26.9,31.5,36.9,43.3,44.0,47.6,58.5,59.7,64.0
"ITU, Global ICT Developments",Algeria,.5,5.8,12.5,14.9,18.2,22.5,29.5,38.2,42.9,47.7,59.6
"ITU, Global ICT Developments",Mauritius,7.3,15.2,28.3,35.0,35.4,40.1,44.8,50.1,52.2,55.4,58.6
"ITU, Global ICT Developments",Cape Verde,1.8,6.1,30.0,32.0,34.7,37.5,40.3,42.7,50.3,57.2,58.2
"ITU, Global ICT Developments",Thailand,3.7,15.0,22.4,23.7,26.5,28.9,34.9,39.3,47.5,52.9,56.8
"ITU, Global ICT Developments",Peru,3.1,17.1,34.8,36.0,38.2,39.2,40.2,40.9,45.5,48.7,52.5
"ITU, Global ICT Developments",Egypt,.6,12.8,21.6,25.6,26.4,29.4,33.9,37.8,41.2,45.0,46.9
"ITU, Global ICT Developments",Côte d'Ivoire,.2,1.0,2.7,2.9,5.0,12.0,19.3,38.4,41.2,43.8,46.8
"ITU, Global ICT Developments",Cambodia,.0,.3,1.3,3.1,4.9,6.8,14.0,6.4,32.4,32.4,40.0
"ITU, Global ICT Developments",Indonesia,.9,3.6,10.9,12.3,14.5,14.9,17.1,22.0,25.4,32.3,39.8
"ITU, Global ICT Developments",Haiti,.2,6.4,8.4,9.0,9.8,10.6,11.4,12.2,12.2,12.3,32.5
"ITU, Global ICT Developments",Saint Vincent and the Grenadines,3.2,9.2,33.7,36.7,40.0,43.5,47.4,17.1,20.7,22.0,22.4
"ITU, Global ICT Developments",Zambia,.2,2.9,10.0,11.5,13.5,15.4,19.0,21.0,25.5,,14.3
"ITU, Global ICT Developments",Niger,.0,.2,.8,.9,1.1,1.2,1.2,2.5,4.3,10.2,5.3
"ITU, Global ICT Developments",Albania,.1,6.0,45.0,49.0,54.7,57.2,60.1,63.3,66.4,71.8,
"ITU, Global ICT Developments",Antigua and Barbuda,6.5,27.0,47.0,52.0,58.0,63.4,67.8,70.0,73.0,76.0,
"ITU, Global ICT Developments",Australia,46.8,63.0,76.0,79.5,79.0,83.5,84.0,84.6,86.5,86.5,
